Current (mA),Peak Wavelength (nm),Peak Power (dBm)
83.20,974.7400,1.72
83.30,974.7480,1.35
83.40,974.7250,1.18
83.50,974.7330,0.87
83.60,974.6950,0.84
83.70,974.7250,1.32
83.80,974.7480,0.59
83.90,974.7250,1.13
84.00,974.7250,2.13
84.10,974.7030,1.22
84.20,974.7030,0.99
84.30,974.7630,3.53
84.40,974.7250,1.33
84.50,974.6800,1.22
84.60,974.7250,1.27
84.70,974.7180,1.20
84.80,974.7100,1.31
84.90,974.7480,0.99
85.00,974.7100,1.25
85.10,974.7400,1.19
85.20,974.6950,1.50
85.30,974.7330,1.06
85.40,974.7030,1.35
85.50,974.7180,1.19
85.60,974.7250,1.31
85.70,974.7480,1.73
85.80,974.7250,1.53
85.90,974.7250,1.58
86.00,974.7330,1.52
86.10,974.7180,1.49
86.20,974.7100,1.29
86.30,974.7400,1.32
86.40,974.6880,1.57
86.50,974.7180,1.10
86.60,974.6950,1.23
86.70,974.7330,1.29
86.80,974.7330,1.71
86.90,974.7400,1.35
87.00,974.7030,2.10
87.10,974.6950,1.92
87.20,974.7100,1.27
87.30,974.7400,1.62
87.40,974.6950,1.87
87.50,974.7400,1.14
87.60,974.6950,1.25
87.70,974.6880,1.39
87.80,974.7250,1.18
87.90,974.7250,2.08
88.00,974.7100,1.62
88.10,974.7100,1.58
88.20,974.7180,1.53
88.30,974.7250,1.73
88.40,974.7550,1.86
88.50,974.7480,1.30
88.60,974.7250,1.95
88.70,974.7330,2.02
88.80,974.7480,2.45
88.90,974.7250,1.87
89.00,974.7400,1.73
89.10,974.7250,1.91
89.20,974.7180,2.12
89.30,974.7330,1.54
89.40,974.7480,2.35
89.50,974.6880,1.40
89.60,974.7400,2.03
89.70,974.6950,1.41
89.80,974.7030,1.96
89.90,974.6950,2.13
90.00,974.7550,2.08
90.10,974.7180,1.65
90.20,974.7180,2.05
90.30,974.7400,2.05
90.40,974.7630,2.07
90.50,974.7480,2.31
90.60,974.7100,1.60
90.70,974.7250,2.14
90.80,974.7480,1.75
90.90,974.7100,1.98
91.00,974.7250,1.49
91.10,974.7850,1.51
91.20,974.6800,1.84
91.30,974.7100,2.14
91.40,974.6950,2.48
91.50,974.7100,2.52
91.60,974.7250,2.25
91.70,974.7550,2.40
91.80,974.7330,2.78
91.90,974.7180,1.82
92.00,974.7250,1.95
92.10,974.6880,2.16
92.20,974.7250,2.26
92.30,974.7480,2.09
92.40,974.7330,2.79
92.50,974.7330,2.78
92.60,974.7030,2.68
92.70,974.7330,2.23
92.80,974.7030,2.24
92.90,974.7100,2.06
93.00,974.7250,2.38
93.10,974.6950,1.55
93.20,974.7480,2.03
93.30,974.7180,2.18
93.40,974.7400,2.39
93.50,974.7100,2.29
93.60,974.7330,2.69
93.70,974.7400,2.12
93.80,974.7330,2.39
93.90,974.7330,2.08
94.00,974.7030,1.78
94.10,974.7180,2.98
94.20,974.7100,2.22
94.30,974.7330,2.64
94.40,974.7400,2.02
94.50,974.7250,2.78
94.60,974.7100,2.11
94.70,974.7330,2.11
94.80,974.7400,3.00
94.90,974.7100,2.46
95.00,974.7250,2.55
95.10,974.7330,2.53
95.20,974.7100,2.55
95.30,974.7480,2.28
95.40,974.7400,2.26
95.50,974.7250,2.31
95.60,974.7250,2.39
95.70,974.7180,2.79
95.80,974.7400,2.73
95.90,974.7100,2.61
96.00,974.7550,2.48
96.10,974.7630,2.53
96.20,974.7100,2.40
96.30,974.7100,2.63
96.40,974.7330,2.50
96.50,974.7550,2.83
96.60,974.6950,2.87
96.70,974.7330,3.05
96.80,974.7250,2.57
96.90,974.7400,2.29
97.00,974.7250,2.63
97.10,974.7250,2.65
97.20,974.7250,2.59
97.30,974.7400,2.75
97.40,974.7180,2.63
97.50,974.7250,3.34
97.60,974.7480,2.52
97.70,974.7100,2.73
97.80,974.7400,2.49
97.90,974.7480,3.03
98.00,974.7100,3.03
98.10,974.7250,2.65
98.20,974.7100,3.12
98.30,974.7250,2.75
98.40,974.7330,2.94
98.50,974.7330,2.60
98.60,974.7100,2.99
98.70,974.7250,2.62
98.80,974.7100,2.92
98.90,974.7100,2.54
99.00,974.7100,2.74
99.10,974.7400,3.03
99.20,974.7480,3.25
99.30,974.7250,3.00
99.40,974.7330,2.92
99.50,974.7030,3.02
99.60,974.7400,3.03
99.70,974.7100,3.05
99.80,974.7030,2.83
99.90,974.7480,2.73
100.00,974.7700,2.83
